timestamp, spread, target_value, m1_ask, m1_ask_size, m1_bid, m1_bid_size, m2_ask, m2_ask_size, m2_bid, m2_bid_size
datetime, float, int, float, float, float, float, float, float, float, float
T, , , , , , , , , ,
2018-04-01 09:25:00.000000, 2.33, 5, 6681.50, 11000.00, 6680.50, 2453.00, 6533.00, 4101.00, 6526.00, 8060.00
2018-04-01 09:30:00.000000, 2.27, 5, 6685.00, 147561.00, 6684.50, 159716.00, 6538.00, 39260.00, 6533.00, 21003.00
2018-04-01 09:35:00.000000, 2.24, 5, 6676.50, 13249.00, 6676.00, 61978.00, 6528.00, 25.00, 6527.00, 24360.00
2018-04-01 09:40:00.000000, 2.11, 5, 6672.50, 136330.00, 6672.00, 502077.00, 6532.50, 21870.00, 6532.00, 8002.00
2018-04-01 09:45:00.000000, 2.22, 5, 6705.00, 143805.00, 6704.50, 278557.00, 6556.50, 3435.00, 6556.00, 10000.00
2018-04-01 09:50:00.000000, 2.23, 5, 6694.50, 456195.00, 6694.00, 226251.00, 6545.50, 50759.00, 6545.00, 5100.00
2018-04-01 09:55:00.000000, 2.25, 5, 6721.50, 246879.00, 6721.00, 190510.00, 6571.50, 33700.00, 6570.00, 56346.00
2018-04-01 10:00:00.000000, 2.47, 5, 6735.00, 268905.00, 6734.50, 587559.00, 6571.00, 18699.00, 6568.50, 23987.00
2018-04-01 10:05:00.000000, 2.51, 5, 6720.50, 519058.00, 6720.00, 120618.00, 6552.50, 8685.00, 6552.00, 29170.00
2018-04-01 10:10:00.000000, 2.46, 5, 6715.50, 53362.00, 6715.00, 17971.00, 6550.50, 33342.00, 6550.00, 24751.00
2018-04-01 10:15:00.000000, 2.42, 5, 6707.50, 78703.00, 6707.00, 360525.00, 6545.50, 500.00, 6545.00, 37884.00
2018-04-01 10:20:00.000000, 2.48, 5, 6700.00, 40756.00, 6699.50, 546974.00, 6534.50, 1000.00, 6534.00, 16678.00
2018-04-01 10:25:00.000000, 2.49, 5, 6679.00, 54481.00, 6678.50, 113020.00, 6514.00, 4570.00, 6512.50, 2881.00
2018-04-01 10:30:00.000000, 2.50, 5, 6671.50, 604829.00, 6671.00, 13297.00, 6505.50, 500.00, 6505.00, 3947.00
2018-04-01 10:35:00.000000, 2.41, 5, 6685.00, 472783.00, 6684.50, 71450.00, 6527.00, 2000.00, 6524.00, 2900.00
2018-04-01 10:40:00.000000, 2.50, 5, 6689.00, 561031.00, 6688.50, 89413.00, 6524.00, 4000.00, 6522.00, 28681.00
2018-04-01 10:45:00.000000, 2.49, 5, 6697.00, 68427.00, 6696.50, 611986.00, 6530.50, 23326.00, 6530.00, 19092.00
2018-04-01 10:50:00.000000, 2.55, 5, 6689.50, 160707.00, 6689.00, 636212.00, 6519.50, 8287.00, 6519.00, 21109.00
2018-04-01 10:55:00.000000, 2.54, 5, 6705.50, 6142.00, 6705.00, 6050.00, 6536.50, 3240.00, 6535.00, 100.00
2018-04-01 11:00:00.000000, 2.51, 5, 6703.50, 70092.00, 6703.00, 531296.00, 6536.50, 500.00, 6535.00, 27000.00
2018-04-01 11:05:00.000000, 2.53, 5, 6687.00, 38195.00, 6686.50, 325509.00, 6520.00, 10185.00, 6518.00, 3162.00
2018-04-01 11:10:00.000000, 2.66, 5, 6672.00, 50798.00, 6671.50, 92371.00, 6495.00, 6880.00, 6494.50, 28046.00
